Date,Close/Last,Volume,Open,High,Low
04/08/2022,$170.78,366450,$170.00,$172.025,$169.58
04/07/2022,$174.49,257516,$174.51,$175.545,$172.7695
04/06/2022,$176.52,227753,$176.30,$177.69,$175.5102
04/05/2022,$177.66,242445,$181.50,$181.67,$177.50
04/04/2022,$182.58,261234,$181.00,$183.13,$180.41
04/01/2022,$180.37,148546,$180.31,$180.94,$178.73
03/31/2022,$180.25,230394,$181.82,$182.34,$180.24
03/30/2022,$180.62,179504,$182.25,$182.71,$180.10
03/29/2022,$184.81,393653,$183.74,$186.00,$183.74
03/28/2022,$177.85,240078,$178.27,$179.20,$177.13
03/25/2022,$178.43,231890,$179.87,$180.395,$177.62
03/24/2022,$180.27,299896,$180.08,$180.53,$178.76
03/23/2022,$175.78,419465,$176.98,$178.61,$175.78
03/22/2022,$172.82,229078,$171.80,$173.69,$171.36
03/21/2022,$171.80,233458,$171.90,$172.96,$171.2176
03/18/2022,$171.70,178983,$170.97,$171.74,$169.89
03/17/2022,$171.74,300287,$170.05,$172.14,$168.52
03/16/2022,$171.89,384402,$169.88,$171.99,$168.77
03/15/2022,$165.93,388180,$165.20,$166.32,$164.26
03/14/2022,$161.09,389528,$162.50,$163.35,$160.61
03/11/2022,$158.27,356034,$160.74,$161.62,$158.17
03/10/2022,$164.43,392732,$165.38,$165.38,$162.52
03/09/2022,$164.05,438832,$164.21,$165.63,$162.80
03/08/2022,$156.34,739550,$159.01,$159.99,$155.05
03/07/2022,$160.17,569780,$163.76,$164.62,$160.00
03/04/2022,$170.75,335308,$170.84,$171.08,$169.09
03/03/2022,$176.09,289506,$178.22,$178.4788,$174.82
03/02/2022,$179.15,342094,$177.07,$179.76,$177.07
03/01/2022,$181.71,305553,$183.83,$185.098,$180.85
02/28/2022,$182.95,321990,$184.47,$184.8754,$181.645
02/25/2022,$185.38,228292,$183.90,$185.73,$183.26
02/24/2022,$182.23,363111,$177.02,$182.55,$176.68
02/23/2022,$183.84,242279,$187.73,$188.59,$183.67
02/22/2022,$185.64,202376,$187.04,$187.47,$184.40
02/18/2022,$188.97,183083,$188.87,$189.29,$187.5101
02/17/2022,$186.54,192221,$188.00,$188.53,$186.1298
02/16/2022,$190.30,206995,$190.11,$190.8999,$189.21
02/15/2022,$189.40,227517,$189.24,$190.058,$188.44
